パターン,対象レース数,総点数,総投資,総払戻,ROI,総的中数,的中率,複勝_ROI,複勝_的中率,複勝_点数,馬連_ROI,馬連_的中率,馬連_点数,三連複_ROI,三連複_的中率,三連複_点数,期間
P12_三連複のみ_ボックス1,1705,1705,17050000,40451000,237.2,165,9.7,-,-,0,-,-,0,237.2,9.7,1705,valid(2023)
P08_複勝なし_馬連◎軸_三連複ボックス1,1890,5207,18660700,39586270,212.1,655,12.6,-,-,0,171.5,14.0,3502,248.1,9.7,1705,valid(2023)
P22_複勝なし_馬連◎軸3_三連複ボックス1,1890,6958,18504700,37999430,205.4,786,11.3,-,-,0,156.2,11.8,5253,248.1,9.7,1705,valid(2023)
P24_複勝なし_馬連◎軸4_三連複ボックス1,1890,8709,18448700,37671870,204.2,882,10.1,-,-,0,153.4,10.2,7004,248.1,9.7,1705,valid(2023)
P13_三連複のみ_◎◯軸3流し,1705,5115,16879500,34465200,204.2,361,7.1,-,-,0,-,-,0,204.2,7.1,5115,valid(2023)
P09_複勝なし_馬連1点_三連複◎1軸3,1890,6866,18558500,37685260,203.1,663,9.7,-,-,0,216.4,17.4,1751,190.9,7.0,5115,valid(2023)
P07_複勝なし_馬連ボックス_三連複ボックス1,1890,6958,18504700,37062110,200.3,747,10.7,-,-,0,145.3,11.1,5253,248.1,9.7,1705,valid(2023)
P11_三連複のみ_◎◯軸2,1705,3410,17050000,34095500,200.0,268,7.9,-,-,0,-,-,0,200.0,7.9,3410,valid(2023)
P23_複勝なし_馬連4頭ボックス6点_三連複ボックス1,1890,12211,18171100,34888710,192.0,990,8.1,-,-,0,124.9,7.9,10506,248.1,9.7,1705,valid(2023)
P10_三連複のみ_◎1軸3,1705,5115,16879500,31861830,188.8,358,7.0,-,-,0,-,-,0,188.8,7.0,5115,valid(2023)
P16_三連複のみ_◎1軸4頭流し,1705,10230,16368000,30790400,188.1,561,5.5,-,-,0,-,-,0,188.1,5.5,10230,valid(2023)
P14_複勝なし_馬連◎軸_三連複◎◯軸3流し,1890,8617,18475800,34724760,187.9,851,9.9,-,-,0,171.5,14.0,3502,202.8,7.1,5115,valid(2023)
P04_複勝なし_馬連◎軸_三連複◎◯軸2,1890,6912,18586800,34391130,185.0,758,11.0,-,-,0,171.5,14.0,3502,197.1,7.9,3410,valid(2023)
P06_複勝なし_馬連◎軸_三連複◎1軸3,1890,8617,18475800,33572950,181.7,848,9.8,-,-,0,171.5,14.0,3502,190.9,7.0,5115,valid(2023)
P17_複勝なし_馬連◎軸_三連複◎1軸4頭流し,1890,13732,18208800,32978800,181.1,1051,7.7,-,-,0,171.5,14.0,3502,190.0,5.5,10230,valid(2023)
P15_複勝なし_馬連ボックス_三連複◎◯軸3流し,1890,10368,18319800,32200600,175.8,943,9.1,-,-,0,145.3,11.1,5253,202.8,7.1,5115,valid(2023)
P02_backtest現状,1890,10441,18345900,31760950,173.1,1933,18.5,104.7,59.5,1824,174.8,14.0,3502,189.4,7.0,5115,valid(2023)
P03_複勝なし_馬連ボックス_三連複◎◯軸2,1890,8663,18430800,31866970,172.9,850,9.8,-,-,0,145.3,11.1,5253,197.1,7.9,3410,valid(2023)
P05_複勝なし_馬連ボックス_三連複◎1軸3,1890,10368,18319800,31048790,169.5,940,9.1,-,-,0,145.3,11.1,5253,190.9,7.0,5115,valid(2023)
P18_複勝なし_馬連ボックス_三連複◎1軸4頭流し,1890,15483,18052800,30454640,168.7,1143,7.4,-,-,0,145.3,11.1,5253,190.0,5.5,10230,valid(2023)
P20_複勝なし_馬連◎軸_三連複4頭ボックス,1890,10322,18485600,31103310,168.3,880,8.5,-,-,0,171.5,14.0,3502,165.3,5.7,6820,valid(2023)
P01_predict現状,1890,9575,18403200,30268740,164.5,1467,15.3,110.2,67.7,912,147.9,11.1,5253,192.2,7.9,3410,valid(2023)
P19_三連複のみ_4頭ボックス,1705,6820,17050000,27929500,163.8,390,5.7,-,-,0,-,-,0,163.8,5.7,6820,valid(2023)
P21_複勝なし_馬連ボックス_三連複4頭ボックス,1890,12073,18329600,28579150,155.9,972,8.1,-,-,0,145.3,11.1,5253,165.3,5.7,6820,valid(2023)
P12_三連複のみ_ボックス1,3208,3208,32080000,70858000,220.9,320,10.0,-,-,0,-,-,0,220.9,10.0,3208,2024+(test)
P08_複勝なし_馬連◎軸_三連複ボックス1,3578,9806,35314100,71929460,203.7,1184,12.1,-,-,0,168.9,13.1,6598,235.0,10.0,3208,2024+(test)
P22_複勝なし_馬連◎軸3_三連複ボックス1,3578,13105,35014700,69470490,198.4,1450,11.1,-,-,0,157.0,11.4,9897,235.0,10.0,3208,2024+(test)
P07_複勝なし_馬連ボックス_三連複ボックス1,3578,13105,35014700,68987840,197.0,1405,10.7,-,-,0,154.1,11.0,9897,235.0,10.0,3208,2024+(test)
P24_複勝なし_馬連◎軸4_三連複ボックス1,3578,16404,34927500,68239790,195.4,1648,10.0,-,-,0,150.3,10.1,13196,235.0,10.0,3208,2024+(test)
P23_複勝なし_馬連4頭ボックス6点_三連複ボックス1,3578,23002,34364300,65400220,190.3,1900,8.3,-,-,0,137.7,8.0,19794,235.0,10.0,3208,2024+(test)
