戦略,レース数,点数,総投資,総払戻,純収支,回収率(%),的中率(%),的中数,月次収支std
S05: G3×三連複 全会場,133,133,1330000,3241000,1911000,243.7,3.8,5,370308
S12: 新馬×馬連 高回収率4会場のみ,284,568,2840000,4934500,2094500,173.8,7.9,45,365079
S02: 3勝×三連複 中山除外,348,348,3480000,5055000,1575000,145.3,6.0,21,325577
S07: 新馬×馬連 + G3×三連複 按分,712,1291,6455000,8340500,1885500,129.2,7.5,97,322432
S03: 3勝×三連複 全会場,415,415,4150000,5204000,1054000,125.4,5.3,22,321184
S04: 新馬×馬連 + 3勝×三連複(中山除外) 按分,927,1506,7530000,9247500,1717500,122.8,7.5,113,342709
S01: 新馬×馬連 全会場,579,1158,5790000,6720000,930000,116.1,7.9,92,363605
S10: 三連単期待値1位1点全振り,6705,6705,67050000,71061000,4011000,106.0,1.5,101,5202451
S14: 新馬/3勝/G3×馬連統一,1127,2254,11270000,11586000,316000,102.8,7.8,175,334973
S08: 新馬/3勝/G3/OP(L)×馬連統一,1250,2500,12500000,12692000,192000,101.5,7.6,191,339019
S11: 高回収率4会場のみ 全馬券種,3203,25624,31069100,31431700,362600,101.2,16.9,4336,827865
S06: G3×馬連 全会場,133,266,1330000,1337000,7000,100.5,6.4,17,88635
S00: ベースライン（全馬券種）,6705,53640,65038500,55696300,-9342200,85.6,16.5,8865,896634
S13: 3勝×馬連 全会場,415,830,4150000,3529000,-621000,85.0,8.0,66,115348
S09: 複勝◎1点全振り,6705,6705,67050000,56820000,-10230000,84.7,57.4,3850,151898
