場所,クラス,馬券種,レース数_valid,投資_valid,払戻_valid,ROI_valid,レース数_test,投資_test,払戻_test,ROI_test,投資_合算,払戻_合算,ROI_合算
函館,2勝,馬連,17,34000,76400,224.7,34,68000,93100,136.9,102000,169500,166.2
中京,2勝,三連複,46,92000,108000,117.4,87,174000,282200,162.2,266000,390200,146.7
新潟,1勝,馬連,96,192000,119800,62.4,189,378000,566900,150.0,570000,686700,120.5
福島,2勝,馬連,23,46000,41300,89.8,45,90000,118600,131.8,136000,159900,117.6
函館,2勝,単勝,17,34000,44600,131.2,34,68000,68800,101.2,102000,113400,111.2
中京,1勝,単勝,117,234000,219800,93.9,235,470000,504200,107.3,704000,724000,102.8
中京,2勝,馬連,46,92000,81100,88.2,87,174000,188700,108.4,266000,269800,101.4
中京,2勝,単勝,46,92000,118400,128.7,87,174000,142000,81.6,266000,260400,97.9
中京,3勝,複勝,20,40000,32600,81.5,38,76000,71900,94.6,116000,104500,90.1
阪神,2勝,馬連,80,160000,118600,74.1,100,200000,204400,102.2,360000,323000,89.7
京都,3勝,馬連,26,52000,60400,116.2,87,174000,140100,80.5,226000,200500,88.7
京都,2勝,馬連,51,102000,106000,103.9,173,346000,291400,84.2,448000,397400,88.7
京都,未勝利,複勝,102,204000,166000,81.4,368,736000,656200,89.2,940000,822200,87.5
福島,未勝利,複勝,92,184000,173400,94.2,181,362000,302400,83.5,546000,475800,87.1
札幌,未勝利,馬連,66,132000,78500,59.5,132,264000,264100,100.0,396000,342600,86.5
中京,1勝,複勝,117,234000,187500,80.1,235,470000,421000,89.6,704000,608500,86.4
中京,2勝,複勝,46,92000,82800,90.0,87,174000,146800,84.4,266000,229600,86.3
函館,2勝,複勝,17,34000,28000,82.4,34,68000,59700,87.8,102000,87700,86.0
中京,未勝利,複勝,121,242000,203800,84.2,240,480000,417100,86.9,722000,620900,86.0
中京,1勝,馬連,117,234000,132500,56.6,235,470000,467600,99.5,704000,600100,85.2
新潟,1勝,複勝,96,192000,154700,80.6,189,378000,318200,84.2,570000,472900,83.0
阪神,未勝利,複勝,180,360000,290900,80.8,235,470000,394100,83.9,830000,685000,82.5
新潟,1勝,単勝,96,192000,163400,85.1,189,378000,306400,81.1,570000,469800,82.4
函館,未勝利,単勝,60,120000,69600,58.0,121,242000,226200,93.5,362000,295800,81.7
京都,2勝,複勝,51,102000,77200,75.7,173,346000,288700,83.4,448000,365900,81.7
中山,未勝利,複勝,161,322000,241600,75.0,330,660000,558100,84.6,982000,799700,81.4
阪神,1勝,複勝,128,256000,204700,80.0,152,304000,250800,82.5,560000,455500,81.3
京都,3勝,複勝,26,52000,37600,72.3,87,174000,146200,84.0,226000,183800,81.3
函館,未勝利,馬連,60,120000,80600,67.2,121,242000,213400,88.2,362000,294000,81.2
中山,1勝,三連複,113,226000,169600,75.0,215,430000,359800,83.7,656000,529400,80.7
