場所,クラス,馬券種,黒字年数,データあり年数,合算ROI_train,ROI_2018,ROI_2019,ROI_2020,ROI_2021,ROI_2022,n_valid,ROI_valid,n_test,ROI_test,信頼度,採用
中京,2勝,三連単,3,4,221.9,,790.0,332.7,41.1,207.9,0,0.0,0,0.0,75.0,False
中京,2勝,三連複,3,4,218.1,,662.6,325.9,84.2,189.4,46,117.3913043478261,87,162.18390804597703,75.0,True
中京,2勝,複勝,3,4,98.1,,114.7,105.6,85.3,103.8,46,90.0,87,84.36781609195401,75.0,True
中京,新馬,三連単,4,5,415.4,430.7,304.8,96.7,745.7,283.3,0,0.0,0,0.0,80.0,False
中京,新馬,三連複,4,5,537.5,263.3,477.2,85.3,401.7,1054.2,0,0.0,0,0.0,80.0,False
中京,新馬,複勝,5,5,161.2,166.4,120.8,149.4,201.7,143.9,0,0.0,0,0.0,100.0,False
中京,新馬,馬連,5,5,276.4,173.3,266.4,447.1,391.5,137.1,0,0.0,0,0.0,100.0,False
中京,未勝利,三連単,4,5,155.8,308.8,81.8,240.3,103.6,109.3,0,0.0,0,0.0,80.0,False
中京,未勝利,三連複,4,5,218.9,259.5,88.7,276.8,200.1,272.6,121,36.280991735537185,240,40.33333333333333,80.0,False
中京,未勝利,馬連,3,5,102.6,132.9,102.2,108.7,91.6,89.3,121,73.18181818181819,240,71.79166666666667,60.0,False
中山,1勝,馬連,3,4,140.2,,77.1,130.9,161.1,156.8,113,70.79646017699115,215,78.25581395348837,75.0,False
中山,2勝,三連複,3,4,392.9,,25.8,162.5,219.6,1010.2,65,5.6923076923076925,135,8.0,75.0,False
中山,2勝,複勝,3,4,112.4,,126.6,96.6,109.3,126.0,65,84.38461538461539,135,70.74074074074073,75.0,True
中山,2勝,馬連,4,4,202.8,,113.1,153.1,292.1,206.6,65,38.61538461538462,135,59.111111111111114,100.0,False
中山,3勝,複勝,3,3,109.9,,,108.8,111.1,109.8,32,81.875,67,74.85074626865672,100.0,True
中山,新馬,三連単,5,5,1580.8,2936.9,2082.0,2139.1,160.8,345.9,0,0.0,0,0.0,100.0,False
中山,新馬,三連複,5,5,967.6,1141.0,1563.8,1064.6,155.0,786.0,0,0.0,0,0.0,100.0,False
中山,新馬,複勝,5,5,171.8,180.4,175.5,165.0,137.5,200.5,0,0.0,0,0.0,100.0,False
中山,新馬,馬連,5,5,379.7,459.2,337.1,226.5,216.5,685.5,0,0.0,0,0.0,100.0,False
中山,未勝利,三連単,5,5,165.0,253.5,173.1,133.8,124.1,139.7,0,0.0,0,0.0,100.0,False
中山,未勝利,三連複,5,5,182.7,209.7,127.5,227.3,148.6,202.0,161,41.86335403726708,330,44.09090909090909,100.0,False
中山,未勝利,複勝,3,5,98.4,101.2,96.6,103.6,101.0,89.3,161,75.03105590062111,330,84.56060606060606,60.0,False
中山,未勝利,馬連,4,5,110.6,132.1,112.3,106.9,104.7,96.7,161,80.03105590062111,330,77.95454545454545,80.0,True
中山,ｵｰﾌﾟﾝ,三連複,3,4,197.5,138.6,0.0,,562.7,116.0,14,190.0,26,13.846153846153847,75.0,True
中山,ｵｰﾌﾟﾝ,複勝,3,4,102.0,101.6,101.7,,111.7,93.3,14,70.35714285714286,26,90.38461538461539,75.0,False
中山,ｵｰﾌﾟﾝ,馬連,4,4,148.5,134.8,115.7,,206.0,144.0,14,123.57142857142858,26,142.1153846153846,100.0,True
京都,新馬,三連複,3,3,290.7,475.1,219.8,131.2,,,0,0.0,0,0.0,100.0,False
京都,新馬,複勝,3,3,150.5,156.9,143.2,152.1,,,0,0.0,0,0.0,100.0,False
京都,新馬,馬連,3,3,308.9,225.2,505.1,142.7,,,0,0.0,0,0.0,100.0,False
函館,2勝,三連単,3,4,395.1,,756.5,294.6,462.0,71.0,0,0.0,0,0.0,75.0,False
函館,2勝,三連複,4,4,325.9,,524.4,306.2,340.0,141.2,17,0.0,34,62.64705882352941,100.0,False
函館,未勝利,三連単,3,5,92.7,109.2,115.4,51.9,17.7,168.3,0,0.0,0,0.0,60.0,False
函館,未勝利,三連複,3,5,95.7,125.3,124.9,58.3,17.8,151.2,60,47.833333333333336,121,90.9090909090909,60.0,False
函館,未勝利,馬連,4,5,125.1,134.2,130.4,157.5,98.5,104.8,60,67.16666666666666,121,88.18181818181819,80.0,False
小倉,1勝,三連複,3,4,140.6,,101.4,241.5,59.4,149.7,0,0.0,0,0.0,75.0,False
小倉,2勝,三連複,4,4,253.7,,146.2,145.8,421.0,192.6,0,0.0,0,0.0,100.0,False
小倉,2勝,馬連,4,4,192.9,,100.3,161.0,261.6,180.1,0,0.0,0,0.0,100.0,False
小倉,新馬,三連単,5,5,2184.8,453.3,1226.7,2250.9,5811.0,425.0,0,0.0,0,0.0,100.0,False
小倉,新馬,三連複,5,5,1397.8,417.3,937.6,797.3,3747.9,441.5,0,0.0,0,0.0,100.0,False
小倉,新馬,複勝,4,5,144.2,91.7,121.8,163.7,160.4,163.1,0,0.0,0,0.0,80.0,False
小倉,新馬,馬連,4,5,398.9,91.7,228.8,369.0,489.4,621.0,0,0.0,0,0.0,80.0,False
小倉,未勝利,三連単,3,5,118.8,252.7,135.6,134.6,62.7,74.5,0,0.0,0,0.0,60.0,False
小倉,未勝利,三連複,5,5,157.6,291.9,125.6,125.8,168.7,105.3,0,0.0,0,0.0,100.0,False
小倉,未勝利,馬連,5,5,144.0,146.3,111.2,108.6,160.1,168.6,0,0.0,0,0.0,100.0,False
新潟,1勝,三連単,4,4,301.2,,259.9,480.3,143.5,371.0,0,0.0,0,0.0,100.0,False
新潟,1勝,三連複,4,4,248.8,,214.1,269.4,151.9,389.2,96,24.6875,189,156.56084656084656,100.0,False
新潟,1勝,複勝,4,4,107.7,,107.4,102.2,102.4,121.1,96,80.57291666666667,189,84.17989417989418,100.0,True
新潟,1勝,馬連,4,4,138.1,,143.9,161.3,131.9,119.2,96,62.39583333333333,189,149.973544973545,100.0,False
新潟,2勝,複勝,3,4,105.2,,92.8,103.2,109.8,108.8,30,31.0,57,81.84210526315789,75.0,False
新潟,2勝,馬連,3,4,108.8,,61.5,118.8,101.9,140.2,30,137.66666666666666,57,75.0,75.0,True
新潟,新馬,三連単,3,5,922.1,0.0,379.8,3633.3,13.8,291.6,0,0.0,0,0.0,60.0,False
新潟,新馬,三連複,3,5,748.1,79.5,406.5,1731.5,17.4,1400.4,0,0.0,0,0.0,60.0,False
新潟,新馬,複勝,4,5,123.4,99.8,100.2,109.6,135.6,160.4,0,0.0,0,0.0,80.0,False
新潟,新馬,馬連,5,5,319.7,133.8,210.0,486.5,426.6,243.6,0,0.0,0,0.0,100.0,False
新潟,未勝利,三連単,3,5,160.4,263.2,85.5,174.5,201.5,57.9,0,0.0,0,0.0,60.0,False
新潟,未勝利,三連複,5,5,152.8,151.8,146.0,153.3,167.2,139.4,123,43.90243902439025,238,50.42016806722689,100.0,False
新潟,未勝利,馬連,4,5,111.3,98.8,132.1,113.3,109.5,104.2,123,83.41463414634146,238,51.701680672268914,80.0,True
札幌,1勝,三連複,3,4,124.6,,155.6,100.4,69.4,179.0,49,37.95918367346939,99,100.7070707070707,75.0,False
札幌,1勝,複勝,4,4,111.5,,105.9,117.0,100.7,121.9,49,69.18367346938776,99,80.55555555555556,100.0,False
札幌,1勝,馬連,4,4,128.1,,133.0,116.5,147.8,114.9,49,61.42857142857143,99,46.06060606060606,100.0,False
札幌,2勝,三連複,3,4,368.4,,994.2,0.0,228.5,323.6,22,79.54545454545455,44,0.0,75.0,False
札幌,2勝,複勝,3,4,116.9,,119.2,131.4,98.0,117.5,22,71.5909090909091,44,63.97727272727273,75.0,False
札幌,2勝,馬連,4,4,166.1,,269.5,125.5,145.2,136.6,22,63.18181818181819,44,21.25,100.0,False
札幌,未勝利,三連複,5,5,222.8,115.7,109.1,112.9,360.4,377.5,66,3.939393939393939,132,143.86363636363637,100.0,False
札幌,未勝利,馬連,3,5,129.6,85.4,70.1,120.8,190.8,163.7,66,59.46969696969697,132,100.0378787878788,60.0,False
東京,1勝,三連複,3,4,156.3,,198.0,76.1,190.5,184.0,0,0.0,0,0.0,75.0,False
東京,1勝,複勝,3,4,105.2,,126.3,98.8,105.9,101.2,0,0.0,0,0.0,75.0,False
東京,1勝,馬連,4,4,130.2,,176.0,135.3,110.1,123.3,0,0.0,0,0.0,100.0,False
東京,2勝,三連単,4,4,171.8,,122.2,246.3,184.4,107.6,0,0.0,0,0.0,100.0,False
東京,2勝,三連複,4,4,174.4,,101.0,138.6,242.2,179.6,0,0.0,0,0.0,100.0,False
東京,2勝,複勝,3,4,101.5,,107.7,106.2,109.6,85.6,0,0.0,0,0.0,75.0,False
東京,2勝,馬連,4,4,151.3,,160.4,136.4,159.6,153.9,0,0.0,0,0.0,100.0,False
東京,3勝,三連複,4,4,165.6,,121.2,147.9,259.8,103.6,0,0.0,0,0.0,100.0,False
東京,新馬,三連単,4,5,693.6,1354.9,18.8,772.3,717.0,580.5,0,0.0,0,0.0,80.0,False
東京,新馬,三連複,4,5,514.6,985.8,77.7,439.6,610.9,444.1,0,0.0,0,0.0,80.0,False
東京,新馬,複勝,5,5,136.7,120.8,122.0,152.1,146.9,139.4,0,0.0,0,0.0,100.0,False
東京,新馬,馬連,5,5,213.7,368.6,147.7,216.5,163.2,176.8,0,0.0,0,0.0,100.0,False
東京,未勝利,三連単,3,5,170.2,83.9,110.2,122.5,84.2,442.7,0,0.0,0,0.0,60.0,False
東京,未勝利,三連複,4,5,175.7,189.2,115.0,129.9,83.9,356.5,0,0.0,0,0.0,80.0,False
東京,未勝利,馬連,4,5,110.2,132.1,111.7,94.5,112.8,101.0,0,0.0,0,0.0,80.0,False
福島,1勝,馬連,3,4,118.0,,80.8,154.6,114.1,109.9,79,61.139240506329116,152,63.98026315789473,75.0,False
