場所,クラス,馬券種,ROI_valid,ROI_test,n_valid,n_test,信頼度,旧_roi_valid,旧_roi_test,旧_採用,新_採用,変化
中京,1勝,単勝,,,,,,93.9,107.3,True,False,削除
中京,1勝,複勝,,,,,,80.1,89.6,True,False,削除
中京,1勝,馬連,,,,,,56.6,99.5,True,False,削除
中京,2勝,三連複,117.3913043478261,162.18390804597703,46.0,87.0,75.0,117.4,162.2,True,True,維持
中京,2勝,単勝,,,,,,128.7,81.6,True,False,削除
中京,2勝,複勝,90.0,84.36781609195401,46.0,87.0,75.0,90.0,84.4,True,True,維持
中京,2勝,馬連,,,,,,88.2,108.4,True,False,削除
中京,3勝,複勝,,,,,,81.5,94.6,True,False,削除
中京,未勝利,複勝,,,,,,84.2,86.9,True,False,削除
中山,1勝,三連複,,,,,,75.0,83.7,True,False,削除
中山,2勝,複勝,84.38461538461539,70.74074074074073,65.0,135.0,75.0,,,False,True,新規追加
中山,3勝,複勝,81.875,74.85074626865672,32.0,67.0,100.0,,,False,True,新規追加
中山,未勝利,複勝,,,,,,75.0,84.6,True,False,削除
中山,未勝利,馬連,80.03105590062111,77.95454545454545,161.0,330.0,80.0,,,False,True,新規追加
中山,ｵｰﾌﾟﾝ,三連複,190.0,13.846153846153847,14.0,26.0,75.0,,,False,True,新規追加
中山,ｵｰﾌﾟﾝ,馬連,123.57142857142858,142.1153846153846,14.0,26.0,100.0,,,False,True,新規追加
京都,2勝,複勝,,,,,,75.7,83.4,True,False,削除
京都,2勝,馬連,,,,,,103.9,84.2,True,False,削除
京都,3勝,複勝,,,,,,72.3,84.0,True,False,削除
京都,3勝,馬連,,,,,,116.2,80.5,True,False,削除
京都,未勝利,複勝,,,,,,81.4,89.2,True,False,削除
函館,2勝,単勝,,,,,,131.2,101.2,True,False,削除
函館,2勝,複勝,,,,,,82.4,87.8,True,False,削除
函館,2勝,馬連,,,,,,224.7,136.9,True,False,削除
函館,未勝利,単勝,,,,,,58.0,93.5,True,False,削除
函館,未勝利,馬連,,,,,,67.2,88.2,True,False,削除
新潟,1勝,単勝,,,,,,85.1,81.1,True,False,削除
新潟,1勝,複勝,80.57291666666667,84.17989417989418,96.0,189.0,100.0,80.6,84.2,True,True,維持
新潟,1勝,馬連,,,,,,62.4,150.0,True,False,削除
新潟,2勝,馬連,137.66666666666666,75.0,30.0,57.0,75.0,,,False,True,新規追加
新潟,未勝利,馬連,83.41463414634146,51.701680672268914,123.0,238.0,80.0,,,False,True,新規追加
札幌,未勝利,馬連,,,,,,59.5,100.0,True,False,削除
福島,2勝,馬連,89.78260869565217,131.77777777777777,23.0,45.0,75.0,89.8,131.8,True,True,維持
福島,未勝利,三連複,108.69565217391303,48.06629834254144,92.0,181.0,100.0,,,False,True,新規追加
福島,未勝利,複勝,,,,,,94.2,83.5,True,False,削除
福島,未勝利,馬連,100.81521739130434,72.45856353591161,92.0,181.0,80.0,,,False,True,新規追加
阪神,1勝,複勝,,,,,,80.0,82.5,True,False,削除
阪神,2勝,馬連,,,,,,74.1,102.2,True,False,削除
阪神,未勝利,三連複,91.16666666666666,62.34042553191489,180.0,235.0,60.0,,,False,True,新規追加
阪神,未勝利,複勝,,,,,,80.8,83.9,True,False,削除
