場所,クラス,馬券種,回収率,ウェイト,配分額,レース数/年,年間投資,年間払戻
中京,1000万,三連単,176.3,0.3045,3000,17.8,53400.0,94144.2
中京,1000万,三連複,170.8,0.295,2900,17.8,51620.0,88166.96
中京,1000万,馬連,130.6,0.2256,2200,17.8,39160.0,51142.96
中京,1000万,複勝,101.3,0.175,1700,17.8,30260.0,30653.38
中京,1600万,馬連,115.7,0.5254,5200,5.8,30160.0,34895.12
中京,1600万,複勝,104.5,0.4746,4700,5.8,27260.0,28486.7
中京,1勝,三連複,143.3,0.566,5600,46.7,261520.00000000003,374758.1600000001
中京,1勝,馬連,109.9,0.434,4300,46.7,200810.0,220690.19
中京,2勝,三連単,221.9,0.5043,5000,19.4,97000.0,215243.0
中京,2勝,三連複,218.1,0.4957,4900,19.4,95060.0,207325.86
中京,3勝,馬連,180.0,1.0,10000,8.3,83000.0,149400.0
中京,500万,三連複,153.7,0.4006,4000,79.0,316000.0,485692.0
中京,500万,三連単,117.0,0.3049,3000,79.0,237000.0,277290.0
中京,500万,馬連,113.0,0.2945,2900,79.0,229100.0,258883.0
中京,OP(L),三連複,265.6,0.6034,6000,2.7,16200.000000000002,43027.20000000001
中京,OP(L),三連単,174.6,0.3966,3900,2.7,10530.0,18385.38
中京,新馬,三連複,454.9,0.359,3500,20.5,71750.0,326390.75
中京,新馬,三連単,426.0,0.3361,3300,20.5,67650.0,288189.0
中京,新馬,馬連,236.3,0.1865,1800,20.5,36900.0,87194.7
中京,新馬,複勝,150.1,0.1184,1100,20.5,22550.0,33847.55
中京,未勝利,三連複,202.6,0.4332,4300,113.6,488480.0,989660.48
中京,未勝利,三連単,153.1,0.3273,3200,113.6,363520.0,556549.12
中京,未勝利,馬連,112.0,0.2395,2300,113.6,261280.0,292633.6
中京,Ｇ２,三連複,335.0,0.4762,4700,3.2,15040.0,50384.0
中京,Ｇ２,三連単,246.8,0.3508,3500,3.2,11200.0,27641.6
中京,Ｇ２,複勝,121.7,0.173,1700,3.2,5440.0,6620.48
中京,Ｇ３,三連単,178.9,0.3842,3800,6.3,23940.0,42828.66
中京,Ｇ３,三連複,177.9,0.382,3800,6.3,23940.0,42589.26
中京,Ｇ３,複勝,108.9,0.2338,2300,6.3,14490.0,15779.61
中京,ｵｰﾌﾟﾝ,三連複,163.6,0.4031,4000,9.0,36000.0,58896.0
中京,ｵｰﾌﾟﾝ,馬連,132.3,0.3259,3200,9.0,28800.0,38102.4
中京,ｵｰﾌﾟﾝ,複勝,110.0,0.271,2700,9.0,24300.0,26730.0
中山,1000万,馬連,171.4,0.4412,4400,41.1,180840.0,309959.76
中山,1000万,三連単,110.5,0.2844,2800,41.1,115080.0,127163.4
中山,1000万,複勝,106.6,0.2744,2700,41.1,110970.0,118294.02
中山,1600万,三連単,388.2,0.3961,3900,19.1,74490.0,289170.18
中山,1600万,三連複,299.0,0.3051,3000,19.1,57300.00000000001,171327.00000000003
中山,1600万,馬連,176.8,0.1804,1800,19.1,34380.0,60783.84
中山,1600万,複勝,116.0,0.1184,1100,19.1,21010.0,24371.6
中山,1勝,馬連,140.2,0.3984,3900,38.3,149370.0,209416.74
中山,1勝,三連複,111.6,0.3171,3100,38.3,118729.99999999999,132502.68
中山,1勝,三連単,100.1,0.2845,2800,38.3,107239.99999999999,107347.23999999998
中山,2勝,三連複,392.9,0.5549,5500,23.0,126500.0,497018.5
中山,2勝,馬連,202.8,0.2864,2800,23.0,64400.0,130603.2
中山,2勝,複勝,112.4,0.1587,1500,23.0,34500.0,38778.0
中山,3勝,三連複,232.7,0.33,3200,10.5,33600.0,78187.2
中山,3勝,三連単,203.6,0.2887,2800,10.5,29400.0,59858.4
中山,3勝,馬連,155.4,0.2204,2200,10.5,23100.0,35897.4
中山,3勝,複勝,113.5,0.1609,1600,10.5,16800.0,19068.0
中山,500万,三連複,169.9,0.3327,3300,71.9,237270.00000000003,403121.7300000001
中山,500万,馬連,135.2,0.2648,2600,71.9,186940.00000000003,252742.88
中山,500万,三連単,103.8,0.2033,2000,71.9,143800.0,149264.4
中山,500万,複勝,101.7,0.1992,1900,71.9,136610.0,138932.37
中山,OP(L),複勝,107.6,1.0,10000,3.3,33000.0,35508.0
中山,新馬,三連単,2097.8,0.4802,4800,41.8,200640.0,4209025.920000001
中山,新馬,三連複,1563.9,0.358,3500,41.8,146300.0,2287985.7
中山,新馬,馬連,525.6,0.1203,1200,41.8,50160.0,263640.96
中山,新馬,複勝,181.7,0.0416,400,41.8,16720.0,30380.24
中山,未勝利,三連単,169.3,0.3787,3700,153.9,569430.0,964044.99
中山,未勝利,三連複,164.2,0.3673,3600,153.9,554040.0,909733.68
中山,未勝利,馬連,113.6,0.2541,2500,153.9,384750.0,437076.0
中山,Ｇ１,複勝,107.5,0.3449,3400,3.2,10880.0,11696.0
中山,Ｇ１,馬連,102.7,0.3295,3200,3.2,10240.0,10516.48
中山,Ｇ１,三連単,101.5,0.3256,3200,3.2,10240.0,10393.6
中山,Ｇ２,三連単,265.3,0.3815,3800,8.3,31540.000000000004,83675.62000000001
中山,Ｇ２,馬連,157.5,0.2265,2200,8.3,18260.0,28759.5
中山,Ｇ２,三連複,149.6,0.2151,2100,8.3,17430.0,26075.28
中山,Ｇ２,複勝,123.1,0.177,1700,8.3,14110.000000000002,17369.410000000003
中山,Ｇ３,三連複,261.9,0.3324,3300,9.4,31020.0,81241.37999999999
中山,Ｇ３,三連単,257.9,0.3274,3200,9.4,30080.0,77576.31999999999
中山,Ｇ３,馬連,144.9,0.1839,1800,9.4,16920.0,24517.08
中山,Ｇ３,複勝,123.1,0.1563,1500,9.4,14100.0,17357.1
中山,ｵｰﾌﾟﾝ,三連複,576.2,0.5268,5200,18.9,98279.99999999999,566289.3599999999
中山,ｵｰﾌﾟﾝ,馬連,209.0,0.1911,1900,18.9,35910.0,75051.9
中山,ｵｰﾌﾟﾝ,三連単,201.8,0.1845,1800,18.9,34020.0,68652.36
中山,ｵｰﾌﾟﾝ,複勝,106.7,0.0976,900,18.9,17010.0,18149.67
京都,1000万,三連単,190.6,0.3221,3200,52.8,168960.0,322037.76
京都,1000万,三連複,149.7,0.253,2500,52.8,132000.0,197604.0
京都,1000万,馬連,148.7,0.2513,2500,52.8,132000.0,196284.0
京都,1000万,複勝,102.7,0.1736,1700,52.8,89760.0,92183.52
京都,1600万,三連複,120.0,0.3485,3400,24.9,84660.0,101592.0
京都,1600万,馬連,119.7,0.3477,3400,24.9,84660.0,101338.02
京都,1600万,複勝,104.6,0.3038,3000,24.9,74700.0,78136.2
京都,1勝,三連複,112.6,0.3509,3500,14.1,49350.0,55568.1
京都,1勝,複勝,106.9,0.3331,3300,14.1,46530.0,49740.57
京都,1勝,馬連,101.4,0.316,3100,14.1,43710.0,44321.94
京都,2勝,三連複,171.7,0.324,3200,10.1,32320.0,55493.44
京都,2勝,三連単,133.3,0.2515,2500,10.1,25250.0,33658.25000000001
京都,2勝,馬連,119.8,0.226,2200,10.1,22220.0,26619.56
京都,2勝,複勝,105.2,0.1985,1900,10.1,19190.0,20187.88
京都,3勝,馬連,144.6,0.5907,5900,4.7,27730.0,40097.58
京都,3勝,複勝,100.2,0.4093,4000,4.7,18800.0,18837.6
京都,500万,三連複,115.9,0.3597,3500,83.7,292950.0,339529.05
京都,500万,三連単,105.7,0.3281,3200,83.7,267840.0,283106.88
京都,500万,馬連,100.6,0.3122,3100,83.7,259470.0,261026.82
京都,OP(L),三連複,423.0,0.4093,4000,2.7,10800.0,45684.0
京都,OP(L),三連単,337.7,0.3268,3200,2.7,8640.0,29177.28
京都,OP(L),馬連,150.4,0.1455,1400,2.7,3780.0000000000005,5685.120000000001
京都,OP(L),複勝,122.4,0.1184,1100,2.7,2970.0,3635.28
京都,新馬,三連複,448.1,0.3369,3300,35.7,117810.00000000001,527906.6100000001
京都,新馬,三連単,429.0,0.3226,3200,35.7,114240.00000000001,490089.6000000001
京都,新馬,馬連,290.0,0.2181,2100,35.7,74970.0,217413.0
京都,新馬,複勝,162.8,0.1224,1200,35.7,42840.0,69743.52
京都,未勝利,三連複,161.3,0.3692,3600,127.2,457920.0,738624.96
京都,未勝利,三連単,152.2,0.3484,3400,127.2,432480.0,658234.5599999999
京都,未勝利,馬連,123.4,0.2824,2800,127.2,356160.0,439501.44
京都,Ｇ１,三連単,768.1,0.4377,4300,4.1,17630.0,135416.03
京都,Ｇ１,三連複,543.7,0.3098,3000,4.1,12299.999999999998,66875.1
京都,Ｇ１,馬連,273.2,0.1557,1500,4.1,6149.999999999999,16801.8
京都,Ｇ１,複勝,169.8,0.0968,900,4.1,3689.9999999999995,6265.62
京都,Ｇ２,三連単,514.5,0.469,4600,5.0,23000.0,118335.0
京都,Ｇ２,三連複,309.4,0.282,2800,5.0,14000.0,43316.0
京都,Ｇ２,複勝,137.5,0.1253,1200,5.0,6000.0,8250.0
京都,Ｇ２,馬連,135.6,0.1236,1200,5.0,6000.0,8136.0
京都,Ｇ３,三連複,389.1,0.4996,4900,7.0,34300.0,133461.3
京都,Ｇ３,馬連,169.5,0.2176,2100,7.0,14700.0,24916.5
京都,Ｇ３,複勝,113.9,0.1463,1400,7.0,9800.0,11162.2
京都,Ｇ３,三連単,106.3,0.1365,1300,7.0,9100.0,9673.3
京都,ｵｰﾌﾟﾝ,馬連,162.3,0.3722,3700,19.7,72890.0,118300.47
京都,ｵｰﾌﾟﾝ,三連単,159.9,0.3667,3600,19.7,70920.0,113401.08
京都,ｵｰﾌﾟﾝ,複勝,113.8,0.261,2600,19.7,51220.0,58288.36
函館,1000万,三連単,161.6,0.4166,4100,10.8,44280.0,71556.48
函館,1000万,三連複,123.4,0.3181,3100,10.8,33480.0,41314.32
函館,1000万,馬連,102.9,0.2653,2600,10.8,28080.000000000004,28894.320000000003
函館,1勝,三連複,105.7,1.0,10000,17.5,175000.0,184975.0
函館,2勝,三連単,395.1,0.3965,3900,6.9,26910.0,106321.41
函館,2勝,三連複,325.9,0.327,3200,6.9,22080.0,71958.71999999999
函館,2勝,馬連,166.3,0.1669,1600,6.9,11040.0,18359.520000000004
函館,2勝,複勝,109.2,0.1096,1000,6.9,6900.0,7534.8
函館,500万,三連複,145.6,0.4037,4000,34.4,137600.0,200345.6
函館,500万,三連単,114.9,0.3185,3100,34.4,106640.0,122529.36
函館,500万,馬連,100.2,0.2778,2700,34.4,92880.0,93065.76
函館,新馬,三連複,535.5,0.4868,4800,14.1,67680.0,362426.4
